scheduler	batch	step	latency	throughput	gpu_peak_GB	gpu_total_GB	gpu_util_ratio
DDIM	1	10	0.761634986	1.312964896	3.181124687	47.37982178	0.067140917
DDIM	2	10	1.018447161	1.963773946	3.586545944	47.37982178	0.075697751
DDIM	4	10	1.833889405	2.181156611	4.587695122	47.37982178	0.096828037
DDIM	8	10	3.543281237	2.257794249	6.590062141	47.37982178	0.139090058
DDIM	16	10	7.188412507	2.225804374	10.59465885	47.37982178	0.223611201
DDIM	32	10	15.03320901	2.128620708	18.60378361	47.37982178	0.392652039
DDIM	48	10	23.79823947	2.016955921	23.61351109	47.37982178	0.498387503
DDIM	1	20	1.057215293	0.945881134	3.181124687	47.37982178	0.067140917
DDIM	2	20	1.783309857	1.121510091	3.586545944	47.37982178	0.075697751
DDIM	4	20	3.298492352	1.212675239	4.587695122	47.37982178	0.096828037
DDIM	8	20	6.396292369	1.250724567	6.590062141	47.37982178	0.139090058
DDIM	16	20	12.98753762	1.231950233	10.59465885	47.37982178	0.223611201
DDIM	32	20	27.02256044	1.184195705	18.60378361	47.37982178	0.392652039
DDIM	48	20	40.59654244	1.182366702	23.61351109	47.37982178	0.498387503
DDIM	1	30	1.549533685	0.645355444	3.181124687	47.37982178	0.067140917
DDIM	2	30	2.576943398	0.776113283	3.586545944	47.37982178	0.075697751
DDIM	4	30	4.832932552	0.827654836	4.587695122	47.37982178	0.096828037
DDIM	8	30	9.388318141	0.852122806	6.590062141	47.37982178	0.139090058
DDIM	16	30	19.12040345	0.836802426	10.59465885	47.37982178	0.223611201
DDIM	32	30	38.18613029	0.838000598	18.60378361	47.37982178	0.392652039
DDIM	48	30	58.21690869	0.824502727	23.61334324	47.37982178	0.498383961
DDIM	1	50	2.496713003	0.400526612	3.181124687	47.37982178	0.067140917
DDIM	2	50	4.094480435	0.488462463	3.586545944	47.37982178	0.075697751
DDIM	4	50	7.773897727	0.514542401	4.587695122	47.37982178	0.096828037
DDIM	8	50	15.20116218	0.526275551	6.590062141	47.37982178	0.139090058
DDIM	16	50	30.55196253	0.523697945	10.59465885	47.37982178	0.223611201
DDIM	32	50	61.6072762	0.519419166	18.60378361	47.37982178	0.392652039
DDIM	48	50	93.31836327	0.514368216	23.61351109	47.37982178	0.498387503
DDIM	1	75	3.736326774	0.267642543	3.181125164	47.37982178	0.067140927
DDIM	2	75	6.132907629	0.326109591	3.586546421	47.37982178	0.075697761
DDIM	4	75	11.53042308	0.346908346	4.587695599	47.37982178	0.096828047
DDIM	8	75	22.54616674	0.354827501	6.590062618	47.37982178	0.139090068
DDIM	16	75	45.31429887	0.353089431	10.59465933	47.37982178	0.223611211
DDIM	32	75	91.46835287	0.349847778	18.60378408	47.37982178	0.392652049
